id,ticker,action,action_date,reason,entry_price,stop_price,target_price,rs,vol_ratio,created_at,volume_ratio
18,AES,ADDED,2025-10-01,new_trigger,15.18,13.96,18.82,0.022704842876363294,5.856884252950757,2025-12-03 13:10:57,
19,ATXS,ADDED,2025-10-01,new_trigger,56.94,52.38,70.61,0.08518213417142345,1.9258548752869296,2025-12-03 13:10:57,
20,ATRC,ADDED,2025-10-01,new_trigger,56.94,52.38,70.61,0.08518213417142345,1.9258548752869296,2025-12-03 13:10:57,
21,AXON,ADDED,2025-10-01,new_trigger,346.08,318.39,429.14,0.5177350291753429,2.056561893059574,2025-12-03 13:10:57,
22,BILL,ADDED,2025-10-01,new_trigger,35.46,32.62,43.97,0.05304162822199101,1.76079077265036,2025-12-03 13:10:57,
23,BHVN,ADDED,2025-10-01,new_trigger,35.46,32.62,43.97,0.05304162822199101,1.76079077265036,2025-12-03 13:10:57,
24,BHK,ADDED,2025-10-01,new_trigger,35.46,32.62,43.97,0.05304162822199101,1.76079077265036,2025-12-03 13:10:57,
25,BHF,ADDED,2025-10-01,new_trigger,35.46,32.62,43.97,0.05304162822199101,1.76079077265036,2025-12-03 13:10:57,
26,BIT,ADDED,2025-10-01,new_trigger,10.19,9.37,12.63,0.015240000636876666,1.9178113711143323,2025-12-03 13:10:57,
27,BIPC,ADDED,2025-10-01,new_trigger,10.19,9.37,12.63,0.015240000636876666,1.9178113711143323,2025-12-03 13:10:57,
28,BIOA,ADDED,2025-10-01,new_trigger,10.19,9.37,12.63,0.015240000636876666,1.9178113711143323,2025-12-03 13:10:57,
29,CVS,ADDED,2025-10-01,new_trigger,76.25,70.15,94.55,0.11406489613431843,1.3984254731432786,2025-12-03 13:10:57,
30,CWH,ADDED,2025-10-01,new_trigger,35.24,32.42,43.7,0.05271897828547323,1.4332629479112506,2025-12-03 13:10:57,
31,CWEN,ADDED,2025-10-01,new_trigger,35.24,32.42,43.7,0.05271897828547323,1.4332629479112506,2025-12-03 13:10:57,
32,CWAN,ADDED,2025-10-01,new_trigger,35.24,32.42,43.7,0.05271897828547323,1.4332629479112506,2025-12-03 13:10:57,
33,CVNA,ADDED,2025-10-01,new_trigger,35.24,32.42,43.7,0.05271897828547323,1.4332629479112506,2025-12-03 13:10:57,
